City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port-aux-francais,-49.35,70.2167,36.99,78,100,30.94,TF,1690820969
1,hadibu,12.65,54.0333,79.23,77,42,17.92,YE,1690820970
2,nova sintra,14.8667,-24.7167,74.93,79,70,4.79,CV,1690820970
3,tiksi,71.6872,128.8694,36.19,97,43,3.0,RU,1690820970
4,al ghayzah,16.2079,52.176,79.56,88,36,14.07,YE,1690820971
5,laojunmiao,39.8333,97.7333,70.25,45,84,15.08,CN,1690820971
6,minas de marcona,-15.2119,-75.1103,65.62,60,16,9.31,PE,1690820971
7,blackmans bay,-43.0167,147.3167,46.72,58,9,15.21,AU,1690820971
8,souillac,-20.5167,57.5167,73.78,78,40,13.8,MU,1690820972
9,waitangi,-43.9535,-176.5597,51.82,85,72,5.99,NZ,1690820972
10,kharkhorin,47.1975,102.8238,67.46,83,63,3.87,MN,1690820972
11,bethel,41.3712,-73.414,81.73,50,0,6.91,US,1690820940
12,manokwari,-0.8667,134.0833,79.59,81,17,3.47,ID,1690820973
13,puerto natales,-51.7236,-72.4875,28.85,89,100,2.26,CL,1690820973
14,atafu village,-8.5421,-172.5159,82.63,78,45,10.42,TK,1690820973
15,tolanaro,-25.0319,46.9987,71.67,78,20,13.8,MG,1690820973
16,ushuaia,-54.8,-68.3,40.66,52,20,8.05,AR,1690820974
17,kolondieba,11.0882,-6.8926,89.89,49,96,2.42,ML,1690820974
18,grytviken,-54.2811,-36.5092,25.39,82,36,9.95,GS,1690820974
19,keflavik,64.0049,-22.5624,58.91,77,40,10.36,IS,1690820975
20,jamestown,42.097,-79.2353,71.19,60,40,10.36,US,1690820913
21,hamilton,39.1834,-84.5333,81.61,55,75,9.22,US,1690820823
22,jamaame,0.0697,42.745,75.7,76,82,11.99,SO,1690820975
23,senador canedo,-16.7081,-49.0931,85.33,28,0,10.36,BR,1690820891
24,bilibino,68.0546,166.4372,43.48,90,100,2.19,RU,1690820976
25,avarua,-21.2078,-159.775,77.05,94,75,4.61,CK,1690820976
26,tralee,52.2704,-9.7026,61.05,94,100,13.8,IE,1690820976
27,wailua homesteads,22.0669,-159.378,79.59,84,75,13.8,US,1690820977
28,ilulissat,69.2167,-51.1,42.82,87,75,3.44,GL,1690820977
29,olonkinbyen,70.9221,-8.7187,44.64,93,100,5.01,SJ,1690820977
30,constantia,44.1833,28.65,75.88,63,44,5.75,RO,1690820978
31,papatowai,-46.5619,169.4708,44.2,72,50,21.97,NZ,1690820978
32,puerto ayora,-0.7393,-90.3518,80.56,99,88,7.0,EC,1690820978
33,margaret river,-33.95,115.0667,58.15,73,98,9.35,AU,1690820979
34,edinburgh of the seven seas,-37.0676,-12.3116,56.91,87,98,21.03,SH,1690820979
35,hawaiian paradise park,19.5933,-154.9731,72.03,97,75,5.75,US,1690820979
36,santiago de cao,-7.9589,-79.2392,75.33,64,40,13.8,PE,1690820979
37,karratha,-20.7377,116.8463,74.86,37,88,7.81,AU,1690820980
38,invercargill,-46.4,168.35,43.02,81,57,10.0,NZ,1690820980
39,santa cruz,-17.8,-63.1667,87.85,48,0,11.5,BO,1690820899
40,udangudi,8.4333,78.0167,84.36,62,100,11.41,IN,1690820980
41,harper,4.375,-7.7169,77.38,87,95,10.78,LR,1690820980
42,port mathurin,-19.6833,63.4167,74.08,76,3,22.93,MU,1690820981
43,den burg,53.0542,4.7972,67.96,90,75,16.11,NL,1690820981
44,isafjordur,66.0755,-23.124,50.04,87,40,10.36,IS,1690820981
45,nizhnesortymskiy,62.4397,71.7603,67.75,71,100,8.55,RU,1690820982
46,sola,-13.8833,167.55,75.9,69,94,19.66,VU,1690820982
47,arawa,-6.2132,155.5367,75.61,91,43,2.89,PG,1690820982
48,albany,42.6001,-73.9662,77.58,61,3,4.0,US,1690820729
49,ventspils,57.3894,21.5606,66.13,68,20,13.8,LV,1690820982
50,kertih,4.5141,103.4483,80.62,88,94,0.0,MY,1690820983
51,belinskiy,52.9647,43.4165,69.01,69,56,5.53,RU,1690820983
52,vorgashor,67.5833,63.95,70.43,64,55,3.15,RU,1690820983
53,nantucket,41.2835,-70.0995,78.94,51,0,8.05,US,1690820983
54,bredasdorp,-34.5322,20.0403,49.53,77,40,7.65,ZA,1690820984
55,at taj,24.2049,23.2857,101.66,10,0,13.4,LY,1690820984
56,naze,28.3667,129.4833,79.72,90,100,27.87,JP,1690820984
57,argo,37.6333,22.7333,88.79,45,61,5.46,GR,1690820984
58,hermanus,-34.4187,19.2345,50.81,71,57,8.3,ZA,1690820984
59,kosh-agach,50.0,88.6667,64.08,51,51,6.76,RU,1690820985
60,ad dawadimi,24.5077,44.3924,103.35,10,54,12.35,SA,1690820985
61,qaqortoq,60.7167,-46.0333,44.64,83,71,5.21,GL,1690820985
62,rongelap,11.1635,166.8941,83.05,80,100,16.2,MH,1690820986
63,fiambala,-27.6871,-67.6149,80.42,10,0,2.17,AR,1690820986
64,adamstown,-25.066,-130.1015,65.88,57,98,21.16,PN,1690820986
65,dhemaji,27.4833,94.5833,83.5,83,62,4.79,IN,1690820986
66,port lincoln,-34.7333,135.8667,55.47,78,92,7.67,AU,1690820987
67,tot'ma,59.9747,42.7642,65.57,95,100,4.32,RU,1690820987
68,aweil,8.7682,27.4002,77.32,70,100,4.05,SS,1690820987
69,svetlyy yar,48.4748,44.781,87.4,30,80,4.76,RU,1690820987
70,bousse,12.6606,-1.8922,97.03,35,48,5.79,BF,1690820988
71,richards bay,-28.783,32.0377,63.66,63,1,7.49,ZA,1690820988
72,tazacorte,28.629,-17.9293,82.15,75,0,17.27,ES,1690820988
73,thompson,55.7435,-97.8558,71.76,60,0,4.61,CA,1690820988
74,vanino,49.0869,140.2543,59.95,96,94,3.38,RU,1690820989
75,nabire,-3.3667,135.4833,78.73,84,100,2.82,ID,1690820989
76,iqaluit,63.7506,-68.5145,46.13,87,40,5.75,CA,1690820978
77,punta arenas,-53.15,-70.9167,36.23,64,100,18.81,CL,1690820989
78,dalandzadgad,43.5708,104.425,72.81,65,19,7.54,MN,1690820989
79,guangyuan,32.442,105.823,76.86,91,6,2.26,CN,1690820841
80,vilyuchinsk,52.9306,158.4028,53.87,88,100,2.01,RU,1690820990
81,trairi,-3.2778,-39.2689,87.87,50,0,16.69,BR,1690820895
82,hasaki,35.7333,140.8333,81.3,90,100,11.68,JP,1690820990
83,alaghsas,17.0187,8.0168,107.46,13,12,10.0,NE,1690820991
84,margate,51.3813,1.3862,63.7,87,100,5.99,GB,1690820991
85,salice salentino,40.387,17.9607,89.76,39,24,12.91,IT,1690820991
86,ghat,24.9647,10.1728,110.93,6,4,18.05,LY,1690820991
87,wanning,18.8003,110.3967,82.42,85,100,4.85,CN,1690820992
88,hammerfest,70.6634,23.6821,66.65,55,20,11.5,NO,1690820992
89,nar'yan-mar,67.6713,53.087,78.17,58,29,7.63,RU,1690820992
90,longyearbyen,78.2186,15.6401,49.84,71,75,16.11,SJ,1690820992
